tipo,nome,codigoUnidade,unidadeEnsino,dependenciaAdm,subdependenciaAdm,estado,codigoMunicipio,municipio,cep,logradouro,numero,email,telefone1,telefone2,codigoEmec,codigoIes,codigoInep
ESTADUAL / DISTRITAL,Escolas Técnicas,23023,EE ANTÔNIA DA SILVEIRA CAPILÉ,PÚBLICA,null,MS,5003702,DOURADOS,79811110,Rua Itamarati,200,eeadsc@sed.ms.gov.br,6734227093,,null,null,50016415
ESTADUAL / DISTRITAL,Escolas Técnicas,13271,COLÉGIO ESTADUAL FRANCISCO ASSUMPÇÃO,PÚBLICA,null,RJ,3303500,NOVA IGUAÇU,26030520,Rua João Ferreira Pinto,s/n,danielacarvalho@educacao.rj.gov.br,2126583891,,null,null,0
FEDERAL,IPES,42311,FACULDADE DA ESCADA - UNIDADE SEDE - CAMPUS ESCADA,PRIVADA,null,PE,2605202,ESCADA,null,null,null,edgard.paul@globo.com,null,null,658841,1881,null
FEDERAL,Escolas Técnicas,3468,SENAI VAZANTE CFP MARCELO IANHEZ,ARTIGO 240 - SISTEMA S,SENAI,MG,3171006,VAZANTE,38780000,av presidente tancredo de almeida neves,1500,edmar@fiemg.com.br,3438132946,3438132946,null,null,31321915
ESTADUAL / DISTRITAL,Escolas de Oferta Exclusiva FIC,19737,JOSE BONIFACIO CTA UNESP CAMPUS JABOTICABAL,PÚBLICA,null,SP,3524303,JABOTICABAL,14884900,VIA ACESSO PROF PAULO DONATO CASTELLANE,0,ANA@CTA.UNESP.BR,1632092618,,null,null,null
ESTADUAL / DISTRITAL,Escolas Técnicas,10917,VITAL BRASIL ESCOLA DE FORMACAO PROFISSIONAL,PRIVADA,null,SP,3552809,TABOÃO DA SERRA,06754010,RUA THEREZA MARIA LUIZETTO,107,secretaria.taboao@escolavital.com.br,1147873677,(11) 910-72281,null,null,35269219
FEDERAL,IPES,52238,UNIVERSIDADE CESUMAR - POLO EAD UNICESUMAR RONDONÓPOLIS - MT,PRIVADA,null,MT,5107602,RONDONÓPOLIS,78700160,Rua Treze de Maio,s/n,normas@unicesumar.edu.br,4430276360,,1106160,1196,null
ESTADUAL / DISTRITAL,Escolas Técnicas,32605,ESCOLA ESTADUAL WASHINGTON XAVIER MENDES,PÚBLICA,null,MG,3124302,ESPINOSA,39515000,rua edson mendes,01,escola.80233@educacao.mg.gov.br,3838125090,,null,null,31080233
ESTADUAL / DISTRITAL,Escolas Técnicas,11007,ALVORADA PLUS INSTITUTO EDUCACIONAL,PRIVADA,null,SP,3550308,SÃO PAULO,05788360,AV PROFESSOR CONRADO DE DEO,41,daniela.marques@escoladopensar.com.br,(11) 5881-6664,(11) 5841-6664,null,null,35137108
ESTADUAL / DISTRITAL,Escolas Técnicas,45598,CEJA DE ARARANGUA,PÚBLICA,null,SC,4201406,ARARANGUÁ,88900228,Rua Prefeito Antônio Raupp,370,josianefontana@sed.sc.gov.br,4835246594,,null,null,42126304
ESTADUAL / DISTRITAL,Escolas Técnicas,20394,EE SÃO GABRIEL,PÚBLICA,null,MS,5007695,SÃO GABRIEL DO OESTE,79490000,josé ferrreira rosa,384,eesg@bol.com.br,6732951716,,null,null,50004344
FEDERAL,IPES,31796,ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GESTÃO - UNIDADE SANTO ANDRÉ,PRIVADA,null,SP,3547809,SANTO ANDRÉ,09080510,Avenida Industrial,1455,esags@esags.edu.br,(11)44336161,null,1037979,1723,null
ESTADUAL / DISTRITAL,Escolas Técnicas,4184,ESCOLA ENF-CIÊNCIA,PRIVADA,null,MG,3113305,CARANGOLA,36800000,rua santa luzia,285,enf-ciencia2005@hotmail.com,,3291084211,null,null,0
ESTADUAL / DISTRITAL,Escolas Técnicas,51117,FACULDADE EVANGÉLICA E COLÉGIO EDUCATIVO DE GOIÂNIA,PRIVADA,null,GO,5208707,GOIÂNIA,74265010,Avenida C 1,249,clr.romero@hotmail.com,6230926765,6293328031,null,null,null
ESTADUAL / DISTRITAL,Escolas Técnicas,32412,ESCOLA ESTADUAL JOSÉ BITTENCOURT DE SOUZA,PÚBLICA,null,MG,3124609,ESTRELA DALVA,36725000,Rua lauro barbosa,51,escola.97799@educacao.mg.gvo.br,3234641224,,null,null,31097799
FEDERAL,Escolas Técnicas,32369,SENAC- PITANGA,ARTIGO 240 - SISTEMA S,SENAC,PR,4119608,PITANGA,8520000,"Rua Arthur Mehl",598,pitanga@pr.senac.br,4232462700,,null,null,0
FEDERAL,IPES,47414,CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER - POLO SORRISO,PRIVADA,null,MT,5107925,SORRISO,78890000,Rua Tenente Lira,735,pi@uninter.com; bgaio@uninter.com,4121027941,4121027934,2008254,1491,null
ESTADUAL / DISTRITAL,Escolas Técnicas,3136,COLÉGIO IRMÃO LUCAS,PRIVADA,null,MG,3162005,SÃO GONÇALO DO SAPUCAÍ,37490000,rodovia josé benedito de paiva,647,colegioobjetivosgs@yahoo.com.br,3532413222,3532412683,null,null,null
FEDERAL,IPES,51256,UNIVERSIDADE CESUMAR - POLO EAD UNICESUMAR BELEM - CAMPINA DE ICOARACI - PA,PRIVADA,null,PA,1501402,BELÉM,66815140,Estrada da Maracacuera,10,normas@unicesumar.edu.br,4430276360,,1123320,1196,null
FEDERAL,IPES,24425,FACULDADE INTEGRADA DA GRANDE FORTALEZA - QUIXADA - UNIDADE QUIXADA,PRIVADA,null,CE,2311306,QUIXADÁ,63900000,Rua Tenente Cravo,S/N,fgf@fgf.edu.br,8532999900,,2006459,1658,0
ESTADUAL / DISTRITAL,Escolas Técnicas,11623,ESCOLA DE EDUCAÇÃO PROFISSIONAL DO HOSPITAL MOINHOS DE VENTO,PRIVADA,null,RS,4314902,PORTO ALEGRE,90560030,Rua Tiradentes,996,eliane.lopes@hmv.org.br,5133143479,5133143690,null,null,0
ESTADUAL / DISTRITAL,Escolas Técnicas,44352,FIEL CURSO PROFISSIONALIZANTE,PRIVADA,null,CE,2308500,MOMBAÇA,63610000,Rua cel. josé aderaldo,131,francilene@institutofiel.com.br,(88) 9648-5558,(88) 9666-2107,null,null,23264560
ESTADUAL / DISTRITAL,Escolas Técnicas,13756,COLÉGIO DO TRABALHO,PRIVADA,null,MG,3170206,UBERLÂNDIA,38400392,Avenida Paes Leme,485,secretaria-projetos@faculdadedotrabalho.com.br,3432290006,3432294004,null,null,4910
ESTADUAL / DISTRITAL,Escolas Técnicas,386,CENTRO EDUCACIONAL DA JUVENTUDE PADRE JOÃO PIAMARTA,PRIVADA,null,CE,2304400,FORTALEZA,60415390,Avenida Aguanambi,2479,rosangela_marques28@hotmail.com,8532727422,8532950891,null,null,23251417
ESTADUAL / DISTRITAL,Escolas Técnicas,42497,TECMED CURSOS TÉCNICOS,PRIVADA,null,PE,2609600,OLINDA,53030030,Rua Doutor Manoel de Almeida Belo,1333,barrosmelo09@gmail.com,(81)3011-5454,(81)3011-5454,null,null,null
FEDERAL,Escolas Técnicas,22329,SENAT - FEIRA DE SANTANA/BA,ARTIGO 240 - SISTEMA S,SENAT,BA,2910800,FEIRA DE SANTANA,44094000,Avenida Eduardo Fróes da Mota,S/N,marciaoliveira@SESTSENAT.ORG.BR,7536028900,7536028900,null,null,0
ESTADUAL / DISTRITAL,Escolas Técnicas,20819,INSTITUTO POLITÉCNICO DE ENSINO,PRIVADA,null,RJ,3301009,CAMPOS DOS GOYTACAZES,28010801,Rua Tenente-Coronel Cardoso,265,direcaopedagogica@estudeipe.com.br,2227241800,,null,null,33271216
ESTADUAL / DISTRITAL,Escolas Técnicas,2038,COLEGIO  ESTADUAL COMENDADOR SOARES DE BARROS,PÚBLICA,null,RS,4300208,AJURICABA,98750000,linha 18 norte,0,csoaresdebarros36cre@educacao.rs.gov.br,5533871185,(55) 3387-1649,null,null,43011195
FEDERAL,Escolas Técnicas,19592,KEPPE E PACHECO INSTITUTO EDUCACIONAL,ARTIGO 240 - SISTEMA S,SENAI,SP,3550308,SÃO PAULO,05407001,RUA CARDEAL ARCOVERDE,null,null,null,null,null,null,null
ESTADUAL / DISTRITAL,Escolas Técnicas,22358,COLÉGIO ATENAS,PRIVADA,null,MG,3147006,PARACATU,38600000,rua joão goçalvez de carvalho,114,sec.colegio@atenas.edu.br,3836713399,,null,null,null
ESTADUAL / DISTRITAL,Escolas Técnicas,11348,ESCOLA MASTER DE ENSINO REGULARES E CURSOS PROFISSIONALIZANTES DE ITAPETININGA LTDA - ME,PRIVADA,null,SP,3522307,ITAPETININGA,18200046,RUA DOUTOR VIRGILIO DE REZENDE,720,ESAITAPE@TERRA.COM.BR,1532727185,,null,null,35406247
ESTADUAL / DISTRITAL,Escolas Técnicas,50472,CENTRO DE EDUCAÇÃO PROFISSIONAL VECHI & FRATIN LTDA,PRIVADA,null,PR,4119152,PINHAIS,83323000,Avenida Camilo di Lellis,1065,giovanafratin@hotmail.com,4199571455,4199870275,null,null,null
ESTADUAL / DISTRITAL,Escolas Técnicas,11143,BRASILEIRO DE INSTRUMENTACAO CIRURGICA COLEGIO,PRIVADA,null,SP,3550308,SÃO PAULO,04106060,RUA DOUTOR JOSE DE QUEIROS ARANHA,null,null,null,null,null,null,35317408
FEDERAL,IPES,50722,UNIVERSIDADE PITÁGORAS UNOPAR ANHANGUERA - SANTIAGO/RS - I(3192)U,PRIVADA,null,RS,4317400,SANTIAGO,97700000,Rua Francisco Camargo,261,regulacao.edbasica@kroton.com.br,1989512596,,3192,298,null
ESTADUAL / DISTRITAL,Escolas Técnicas,3311,FACER - RUBIATABA,PRIVADA,null,GO,5218904,RUBIATABA,76350000,av jataí,110,CLAUDIO.KOBAYASHI@FER.EDU.BR,6233251749,,null,null,null
ESTADUAL / DISTRITAL,Escolas Técnicas,867,CENTRO DE FORMACAO DE CORRETORES DE IMOVEIS / SINDIMOVEIS,PRIVADA,null,CE,2304400,FORTALEZA,60160250,Rua Pereira Valente,835,CFCI.CORRETORESDEIMOVEISCE@GMAIL.COM,8532614559,,null,null,0
ESTADUAL / DISTRITAL,Escolas Técnicas,20224,ESCOLA ESTADUAL ALFREDO JOSE DA SILVA,PÚBLICA,null,MT,5101704,BARRA DO BUGRES,78390000,RUA TAMOIOS,55,escola.14435@edu.mt.gov.br,6533612015,,null,null,0
FEDERAL,IPES,31587,UNIDADE INDIU - CAMPUS MONTES CLAROS,PRIVADA,null,MG,3143302,MONTES CLAROS,39400093,Rua João Pinheiro,186,thalita.pimentel@funorte.edu.br,(38)2101-9479,null,25538,5592,null
ESTADUAL / DISTRITAL,Escolas Técnicas,3821,ESCOLA DE ENFERMAGEM JOÃO PAULO II,PRIVADA,null,MG,3106200,BELO HORIZONTE,30150240,Rua Domingos Vieira,586,escolaenfermagem@santacasabh.org.br,3132388601,3132388672,null,null,0
ESTADUAL / DISTRITAL,Escolas Técnicas,21674,ESCOLA ESTADUAL DE EDUCAÇÃO PROFISSIONAL MARIA CARMEN VIEIRA MOREIRA,PÚBLICA,null,CE,2307650,MARACANAÚ,61932810,Rua Maria Ferreira,150,GLAUCIAMENA@gmail.com,8581073924,8599055042,null,null,23564059
FEDERAL,IPES,42649,FACULDADE DE CIÊNCIAS MÉDICAS DE CAMPINA GRANDE - CAMPUS  - CAMPINA GRANDE - ITARARÉ - CAMPUS CAMPINA GRANDE,PRIVADA,null,PB,2504009,CAMPINA GRANDE,58411020,Avenida Senador Argemiro de Figueiredo,1901,acad@cesed.br,(83) 2101-8809,(83) 2101-8808,659109,1334,891
ESTADUAL / DISTRITAL,Escolas Técnicas,48923,CENTRO BRASILEIRO INTEGRADO DE EDUCAÇÃO - CBIE,PRIVADA,null,DF,5300108,BRASÍLIA,72600400,Quadra Quadra 104,17,diretor@cepeddf.com.br,6134341414,,null,null,53018010
FEDERAL,Escolas de Oferta Outros Cursos,2921,INSTITUTO FEDERAL DO PIAUÍ - CAMPUS FLORIANO,PÚBLICA,null,PI,2203909,FLORIANO,64800000,"Rua Francisco Urquiza Machado",462,odimogenes@ifpi.edu.br,8935156400,8935156400,null,null,0
ESTADUAL / DISTRITAL,Escolas Técnicas,21838,ESCOLA TÉCNICA DO RIO DE JANEIRO-ETERJ,PRIVADA,null,RJ,3302007,ITAGUAÍ,23815660,Praça Dom Luis Guanella,136,paularit2012@gmail.com,2124049100,,null,null,33159653
FEDERAL,IPES,32120,FACULDADES INTEGRADAS DE PATOS - FACULDADES INTEGRADAS DE PATOS - CIÊNCIAS ECONÔMICAS,PRIVADA,null,PB,2510808,PATOS,58700250,Rua José Gomes Alves,s/n,null,34212819,null,686015,3304,null
ESTADUAL / DISTRITAL,Escolas Técnicas,2587,CENTRO DE EDUCAÇÃO NOSSA SENHORA DO PERPÉTUO SOCORRO,PRIVADA,null,BA,2919504,LIVRAMENTO DE NOSSA SENHORA,46140000,avenida desembargador antonio carlos souto,304,anamariateixeiradematos@hotmail.com,7734441725,7799796643,null,null,294589200
ESTADUAL / DISTRITAL,Escolas Técnicas,22964,CENTRO ESTADUAL DE EDUCAÇÃO CONTINUADA ORDALINA VIEIRA RORIZ COSTA,PÚBLICA,null,MG,3148004,PATOS DE MINAS,38700208,Rua Ceará,488,escola.118851@educacao.mg.gov.br,3438211950,,null,null,31118851
ESTADUAL / DISTRITAL,Escolas Técnicas,48813,ESCOLA ESTADUAL TEREZINHA PORTO FAGUNDES,PÚBLICA,null,MG,3155108,RIO DO PRADO,39940000,Rua Deraldo Figueiredo,382,escola.245160@educacao.mg.gov.br,3337441362,,null,null,31245160
ESTADUAL / DISTRITAL,Escolas Técnicas,21804,ESCOLA DE EDUCAÇÃO PROFISSIONAL A DISTÂNCIA - CETAM EAD,PÚBLICA,null,AM,1302603,MANAUS,69010120,Avenida Ramos Ferreira,991,adriana.rosa@cetam.am.gov.br,9238787472,9238787479,null,null,0
ESTADUAL / DISTRITAL,Escolas Técnicas,22811,INSTITUTO KENEDY DE ODONTOLOGIA,PRIVADA,null,GO,5208707,GOIÂNIA,74125170,Rua R 17,240,I.K.O@HOTMAIL.COM,6239453005,6239410406,null,null,null
ESTADUAL / DISTRITAL,Escolas Técnicas,49046,ESCOLA ESTADUAL SAGRADA FAMÍLIA,PÚBLICA,null,MG,3161106,SÃO FRANCISCO,39300000,RUA PADRE BENNO,570,escola.63193@educacao.mg.gov.br,3898563349,,null,null,null
ESTADUAL / DISTRITAL,Escolas Técnicas,52390,EDUCATIVA CURSOS,PRIVADA,null,GO,5212501,LUZIÂNIA,72804010,Avenida Alfredo Nasser,06,contato@facce.com.br,6198229775,,null,null,null
FEDERAL,Escolas de Oferta Outros Cursos,42236,INSTITUTO FEDERAL DE MINAS GERAIS CENTRO DE REFERÊNCIA DE ITATIAIUÇU,PÚBLICA,null,MG,3133709,ITATIAIUÇU,35685000,Rua Santa Lúcia,270,pronatec@ifmg.edu.br,3138529556,,null,null,0
FEDERAL,IPES,47213,CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER - POLO CURITIBA I,PRIVADA,null,PR,4106902,CURITIBA,80020130,"Rua José Bonifácio",15,pi@uninter.com; bgaio@uninter.com,4121027941,4121027934,2005988,1491,null
